smiles,MW,LogP,HBD,HBA,rings,true_label
[H+].C1=C(CC(N(C)C)(CO)C)C=CC(=C1Cl)Cl.[Cl-],298.64,-0.04,1,2,1,1
C1=CC(=CC=C1OCC(COC(N)=O)O)Cl,245.66,1.17,2,4,1,1
C1=C(C=CC=C1Br)\C=C\C(NCC)=O,254.13,2.6,1,1,1,1
C1=C(C(=C(C=C1\C=C\C(N)=O)OC)OC)OC,237.25,1.21,1,4,1,1
C1=CC(=CC=C1OCC(NCCN(CC)CC)=O)Cl,284.79,2.18,1,3,1,1
C1=C(C(=N/OCCN)/CCCCOC)C=CC(=C1)Cl,284.79,2.84,1,4,1,1
C1=CC=CC=C1CCNC(CCCl)=O,211.69,1.97,1,1,1,1
NC(=N)NCCCOc1ccccc1,193.25,0.94,3,2,1,1
[C@H](CC1=CC(=C(C=C1)O)O)(C(O)=O)N,197.19,0.05,4,4,1,1
C1=C(CC\C(CN)=C/F)C=CC(=C1)F,197.23,2.57,1,1,1,1
N(C(=O)C)C1=CC=C(O)C=C1,151.16,1.35,2,2,1,1
C1=C(NC(CC)=O)C=CC(=C1)O,165.19,1.74,2,2,1,1
C1=C(C(C(C)(C)O)(C)O)C=CC(=C1)Cl,214.69,2.32,2,2,1,1
C1=C([S](C)(=O)=O)C=CC(=C1C(NCCN(CC)CC)=O)OC,328.43,1.17,1,5,1,1
C1=C(NC(C(Cl)(Cl)Cl)=O)C=CC(=C1)O,254.5,2.7,2,2,1,1
[N+](=NCC(=O)N[C@@H]([C@H](O)C1=CC=C([N+]([O-])=O)C=C1)CO)=[N-],295.25,0.42,3,6,1,1
C(Cl)Cl,84.93,1.42,0,0,0,1
ClCC(F)(F)F,118.49,1.79,0,0,0,1
[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,191.95,-11.74,0,5,0,1
NC(N)=O,60.06,-0.98,2,1,0,1
C[S](=O)(=O)OCCCCO[S](C)(=O)=O,246.31,-0.28,0,6,0,1
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,274.36,2.41,2,4,0,1
CCCC(CCC)C(O)=O,144.21,2.29,1,1,0,1
NC(=O)NO,76.05,-0.96,3,2,0,1
ClCCNC(=O)N(CCCl)N=O,214.05,1.16,1,3,0,1
FCOC(C(F)(F)F)C(F)(F)F,200.05,2.42,0,1,0,1
CC(Cl)(Cl)Cl,133.41,2.38,0,0,0,1
C(CCl)(F)(F)F,118.49,1.79,0,0,0,1
CCC(C)=O,72.11,0.99,0,1,0,1
ClCCl,84.93,1.42,0,0,0,1
CCOCC,74.12,1.04,0,1,0,1
C=COC=C,70.09,1.29,0,1,0,1
FC(F)OC(F)(F)C(F)Cl,184.49,2.35,0,1,0,1
CCO,46.07,-0.0,1,1,0,1
FC(F)(F)COC=C,126.08,1.71,0,1,0,1
FC(F)(F)C(Cl)Br,197.38,2.51,0,0,0,1
FC(F)OC(Cl)C(F)(F)F,184.49,2.35,0,1,0,1
COC(F)(F)C(Cl)Cl,164.97,2.03,0,1,0,1
CCC(C)C(CC)C(=O)NC(N)=O,186.25,1.25,2,2,0,1
CCCO,60.1,0.39,1,1,0,1
CC(C)=O,58.08,0.6,0,1,0,1
OC(O)C(Cl)(Cl)Cl,165.4,0.67,2,2,0,1
C[N+](C)(C)CCO,104.17,-0.32,1,1,0,1
FC(Br)C(F)(F)F,180.93,2.24,0,0,0,1
CN(C)CCO,89.14,-0.46,1,2,0,1
ClC=C(Cl)Cl,131.39,2.5,0,0,0,1
ClC(Cl)Cl,119.38,1.99,0,0,0,1
CC(C)O,60.1,0.39,1,1,0,1
CC\C(=C/C)C(=O)NC(N)=O,156.18,0.54,2,2,0,1
CCC(C)(CC)OC(N)=O,145.2,1.66,1,2,0,1
CCC(O)(\C=C\Cl)C#C,144.6,1.51,1,1,0,1
CCCC(C)(COC(N)=O)COC(N)=O,218.25,0.98,2,4,0,1
CCC(C)(O)C#C,98.14,0.78,1,1,0,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,296.55,3.62,0,4,0,1
ClC(C(F)(F)Cl)(F)F,170.92,2.65,0,0,0,1
C(C(C(NC(NC(C)=O)=O)=O)(CC)Br)C,279.13,1.31,2,3,0,1
C(C(NC(C)=O)C(O)=O)CC(N)=O,188.18,-1.16,3,3,0,1
[C@H](CCCNC(C)=O)(C(O)=O)NC(C)=O,216.24,-0.51,3,3,0,1
CC(C(C(NC(N)=O)=O)Br)C,223.07,0.6,2,2,0,1
C(Br)(Br)Br,252.73,2.45,0,0,0,1
C(C(CCCC)CC)NC(CC(C)O)=O,215.34,2.09,2,2,0,1
C(C(OC(C(Cl)(Cl)Cl)O)C)C(C)(C)O,265.56,2.24,2,3,0,1
C(Cl)(Cl)Cl,119.38,1.99,0,0,0,1
C(C(Cl)(Cl)Cl)OC(OCC(Cl)(Cl)Cl)=O,324.8,3.88,0,3,0,1
C(C(N(C(\C=C\C)=O)CC)C(N(C)C)=O)C,226.32,1.28,0,2,0,1
C(C)Cl,64.52,1.25,0,0,0,1
[C@H](C(NCCCC(O)=O)=O)(C(CO)(C)C)O,233.26,-0.65,4,4,0,1
C(C(C(C)C)(C(N)=O)Br)C,208.1,1.67,1,1,0,1
C(C(C(CC)C)(COC(N)=O)C)OC(N)=O,232.28,1.23,2,4,0,1
CNC(NC(C(Cl)(Cl)Cl)O)=O,221.47,0.6,3,2,0,1
C(NCC(N)=O)CCCC,144.22,0.25,2,2,0,1
C(C(COC(N)=O)(C(CC)C)C)OC(NC(C)C)=O,274.36,2.27,2,4,0,1
C(C(F)(F)F)F,102.03,1.52,0,0,0,1
CC(C(C(OC(N)=O)C)C)OC(N)=O,204.23,0.59,2,4,0,1
C(C(COC(C(Cl)(Cl)Cl)O)(COC(C(Cl)(Cl)Cl)O)COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O,725.7,4.79,4,8,0,1
C(NC(C(C)(C)C)=O)CCC(O)=O,187.24,1.01,2,2,0,1
[C@@H](CC(=O)O)(CC(C)C)CN,159.23,1.08,2,2,0,1
C([S](C(C)(C)[S](=O)(=O)CC)(=O)=O)C,228.33,0.59,0,4,0,1
BrCC(O)(Br)Br,282.76,1.82,1,1,0,1
O=[P](O)(OCC(Cl)(Cl)Cl)O,229.38,1.47,2,2,0,1
NC(=O)OCC,89.09,0.1,1,2,0,1
C(C(C(OCOC(C(C)(C)C)=O)=O)CCC)CC,258.36,3.29,0,4,0,1
C(C(C=C)N)CC(O)=O,129.16,0.36,2,2,0,1
C(=C)OC=C,70.09,1.29,0,1,0,1
C(OC(NC(C(Cl)(Cl)Cl)O)=O)C,236.48,1.42,2,3,0,1
C(C(C(NC(N)=O)=O)(CC)Br)C,237.1,1.14,2,2,0,1
ClC(CCC)O,108.57,1.34,1,1,0,1
C(C(N(C(\C=C\C)=O)CCC)C(N(C)C)=O)C,240.35,1.67,0,2,0,1
O(C(C(F)(F)F)F)C(F)F,168.04,2.08,0,1,0,1
COC(C(F)Br)(F)F,192.96,1.92,0,1,0,1
C(C([S](CC)(=O)=O)([S](CC)(=O)=O)C)C,242.36,0.98,0,4,0,1
C(C(C(N)=O)(CC)CC)C=C,155.24,1.85,1,1,0,1
C(C(C(CC)C)C(N)=O)C,143.23,1.54,1,1,0,1
C(C(CCC)C(N)=O)CC,143.23,1.69,1,1,0,1
[N+](=[N-])=O,44.01,-0.16,0,1,0,1
